nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,numero_mhs_trovati_2,cardinalita_minima_2,cardinalita_massima_2,risultati_uguali
74181.0,3,65,1,0.359375,3638,53.5,271,1,3,3,33,1,0.28125,1382,52.7890625,271,1,3,1
74181.001,2,65,1,0.25,750,51.65625,95,1,2,2,24,1,0.265625,260,51.109375,95,1,2,1
74181.002,2,65,1,0.296875,533,53.03515625,23,1,2,2,24,1,0.28125,187,53.1796875,23,1,2,1
74181.003,2,65,1,0.296875,345,53.12890625,1,1,1,1,1,1,0.28125,1,52.84765625,1,1,1,1
74181.004,2,65,1,0.296875,279,52.9375,14,1,2,2,15,1,0.28125,59,52.375,14,1,2,1
74181.005,4,65,1,0.328125,2322,52.72265625,42,1,2,4,26,1,0.28125,755,51.26953125,42,1,2,1
74181.006,2,65,1,0.3125,602,53.828125,29,1,2,2,17,1,0.3125,147,53.19140625,29,1,2,1
74181.007,2,65,1,0.296875,247,52.41796875,5,1,2,2,5,1,0.25,15,53.5078125,5,1,2,1
74181.008,3,65,1,0.3125,1496,52.9296875,1,1,1,1,1,1,0.265625,1,51.42578125,1,1,1,1
74181.009,3,65,1,0.34375,2018,53.16015625,68,1,3,3,23,1,0.28125,650,53.8203125,68,1,3,1
74181.01,7,65,1,0.359375,11908,53.8125,167,2,3,6,34,1,0.375,4109,53.72265625,167,2,3,1
74181.011,6,65,1,0.453125,41540,55.47265625,3921,2,4,6,46,1,0.421875,28614,55.7421875,3921,2,4,1
74181.012,8,65,1,0.421875,41377,54.7578125,35,2,3,6,21,1,0.296875,669,51.94140625,35,2,3,1
74181.013,6,65,1,0.40625,42127,53.921875,338,2,4,5,37,1,0.4375,10370,53.06640625,338,2,4,1
74181.014,3,65,1,0.390625,857,52.3828125,19,2,3,3,21,1,0.34375,291,52.390625,19,2,3,1
74181.015,9,65,1,0.4375,59385,54.94921875,508,2,4,9,47,1,0.453125,44474,54.08984375,508,2,4,1
74181.016,9,65,1,0.40625,42114,54.6328125,409,2,3,8,45,1,0.375,29788,54.08203125,409,2,3,1
74181.017,8,65,1,0.453125,34726,54.26953125,682,2,4,8,33,1,0.40625,17136,54.58203125,682,2,4,1
74181.018,7,65,1,0.34375,14107,53.11328125,42,2,3,5,27,1,0.40625,1256,51.6640625,42,2,3,1
74181.019,4,65,1,0.34375,2040,53.73828125,57,2,3,3,19,1,0.28125,630,53.6875,57,2,3,1
74181.02,12,65,1,0.578125,98387,53.6015625,1472,3,5,11,38,1,0.46875,48314,56.3515625,1472,3,5,1
74181.021,21,65,1,2.984375,1008105,55.77734375,6034,3,5,19,55,1,3.171875,788050,54.8828125,6034,3,5,1
74181.022,8,65,1,0.515625,50157,55.66015625,226,3,4,6,37,1,0.421875,5868,53.796875,226,3,4,1
74181.023,8,65,1,0.484375,85788,54.78125,3921,3,5,7,47,1,0.453125,65104,56.1484375,3921,3,5,1
