nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,risultati_uguali
c1355.000,4,546,1,24.140625,37410736,139.8515625,895505,1,4,4,152,1,3.9375,4871526,140.01171875,1
c1355.001,2,546,1,0.265625,18433,53.5234375,456,1,2,2,57,1,0.21875,1618,52.4296875,1
c1355.002,2,546,1,0.21875,17694,54.2890625,445,1,2,2,56,1,0.25,1568,52.2734375,1
c1355.003,4,546,1,24.84375,38091686,138.453125,909005,1,4,4,152,1,4.390625,4968626,141.6484375,1
c1355.004,3,546,1,0.8125,798997,52.79296875,26805,1,3,3,115,1,0.3125,101441,54.63671875,1
c1355.005,2,546,1,0.28125,33465,53.77734375,1645,1,2,2,86,1,0.234375,3731,54.58984375,1
c1355.008,2,546,1,0.25,33076,54.0703125,1643,1,2,2,86,1,0.203125,3731,54.21484375,1
c1355.009,2,546,1,0.234375,34161,54.421875,1727,1,2,2,88,1,0.21875,3906,54.09375,1
c1355.010,6,546,1,78.21875,93599580,118.7734375,573155,2,6,6,174,1,13.359375,13581102,116.8671875,1
c1355.011,7,546,1,6.015625,6608924,56.4765625,46547,2,4,7,109,1,0.921875,760385,56.33984375,1
c1355.012,6,546,1,164.078125,192729660,109.10546875,440415,2,5,6,158,1,23.09375,25754494,109.609375,1
c1355.013,5,546,1,3.0625,3996232,59.578125,87202,2,5,5,109,1,0.71875,538065,59.9375,1
c1355.014,7,546,1,965.84375,1057967448,417.25,479018,2,5,7,180,1,162.609375,177225341,411.4765625,1
c1355.015,5,546,1,11.6875,16262056,62.30078125,108284,2,5,5,130,1,2.046875,2256000,64.14453125,1
c1355.018,5,546,1,3.71875,4999806,63.3359375,130315,2,4,5,138,1,0.765625,542537,65.42578125,1
c1355.019,5,546,1,401.171875,544767572,218.7578125,165235,2,4,5,168,1,60.265625,78408311,222.18359375,1
c1355.020,5,546,1,266.921875,360515823,503.48046875,4327270,2,5,5,157,1,39.609375,45151386,520.3984375,?
