nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,numero_mhs_trovati_2,cardinalita_minima_2,cardinalita_massima_2,risultati_uguali
c880.000,1,383,1,0.1875,383,50.4921875,3,1,1,1,3,1,0.171875,3,51.21484375,3,1,1,1
c880.001,6,383,1,0.265625,71218,52.8984375,368,1,4,6,70,1,0.234375,19629,54.19921875,368,1,4,1
c880.002,3,383,1,0.21875,4889,53.37890625,75,1,2,3,22,1,0.171875,285,51.52734375,75,1,2,1
c880.003,1,383,1,0.171875,383,51.19140625,2,1,1,1,2,1,0.171875,2,50.9296875,2,1,1,1
c880.004,2,383,1,0.1875,1135,51.8515625,4,1,2,2,5,1,0.203125,12,50.5,4,1,2,1
c880.005,1,383,1,0.1875,383,50.83984375,3,1,1,1,3,1,0.1875,3,50.9375,3,1,1,1
c880.008,2,383,1,0.203125,6229,52.26953125,48,1,2,2,28,1,0.171875,400,50.6328125,48,1,2,1
c880.009,2,383,1,0.203125,5920,52.26953125,46,1,2,2,27,1,0.1875,372,51.16796875,46,1,2,1
c880.010,7,383,1,0.640625,465018,52.125,1942,2,5,7,76,1,0.375,142555,51.96875,1942,2,5,1
c880.011,5,383,1,0.296875,81317,51.9375,375,2,4,5,28,1,0.203125,4930,53.9296875,375,2,4,1
c880.012,3,383,1,0.328125,148492,53.42578125,1248,2,3,3,54,1,0.21875,14766,54.53515625,1248,2,3,1
c880.013,3,383,1,0.203125,28701,52.5234375,138,2,3,3,30,1,0.1875,1886,52.87109375,138,2,3,1
c880.014,3,383,1,0.234375,12258,53.6328125,225,2,3,3,34,1,0.1875,1190,52.18359375,225,2,3,1
c880.015,2,383,1,0.203125,9147,53.14453125,87,2,2,2,32,1,0.171875,528,50.86328125,87,2,2,1
c880.018,7,383,1,0.453125,245829,51.90234375,736,2,5,7,72,1,0.296875,67256,52.3984375,736,2,5,1
c880.019,4,383,1,0.28125,101703,51.5546875,798,2,4,4,41,1,0.21875,16129,53.14453125,798,2,4,1
c880.020,10,383,1,107.90625,107143730,115.921875,189826,3,8,10,115,1,46.09375,47647431,117.96484375,189826,3,8,1
c880.021,4,383,1,0.296875,97844,51.08984375,828,3,4,4,36,1,0.234375,10734,54.78515625,828,3,4,1
c880.022,4,383,1,0.234375,22422,53.80078125,36,3,4,4,11,1,0.1875,252,51.1953125,36,3,4,1
c880.023,12,383,1,1601.40625,1149370150,1012.06640625,4383891,3,8,12,152,1,910.265625,576020385,1003.65625,4383891,3,8,1
c880.024,5,383,1,0.328125,104875,54.125,288,3,5,5,33,1,0.21875,7951,54.015625,288,3,5,1
c880.025,8,383,1,2.921875,3080713,51.7578125,9270,3,7,8,44,1,0.625,333709,55.73046875,9270,3,7,1
c880.028,3,383,1,0.265625,65857,53.73828125,348,3,3,3,36,1,0.203125,3700,53.171875,348,3,3,1
c880.029,6,383,1,3.109375,3359102,52.671875,22425,3,6,6,62,1,0.859375,596945,55.39453125,22425,3,6,1
c880.030,4,383,1,0.5,407812,51.48046875,1392,4,4,4,40,1,0.234375,22408,54.703125,1392,4,4,1
c880.031,5,383,1,0.296875,76410,51.3125,72,4,5,5,13,1,0.1875,837,51.7734375,72,4,5,1
c880.032,13,383,1,5705.125,4849493797,3785.24609375,13151673,4,9,13,155,1,3584.125,2430297174,3579.8125,13151673,4,9,1
c880.033,10,383,1,54.515625,55921665,92.890625,137670,4,8,10,98,1,29.359375,22683660,92.55859375,137670,4,8,1
c880.034,11,383,1,623.3125,440115478,326.15234375,569478,4,9,11,118,1,267.640625,195651524,323.4921875,569478,4,9,1
c880.035,5,383,1,0.53125,329894,72.1796875,1656,4,5,5,38,1,0.296875,37490,72.13671875,1656,4,5,1
c880.038,7,383,1,0.59375,343130,70.578125,648,4,6,7,35,1,0.28125,26217,72.9296875,648,4,6,1
c880.039,10,383,1,82.65625,80885354,108.6953125,148320,4,9,10,61,1,12.9375,12418492,108.796875,148320,4,9,1
c880.040,6,383,1,1.3125,1061816,70.81640625,3312,5,6,6,40,1,0.34375,123042,73.078125,3312,5,6,1
c880.042,8,383,1,61.59375,65923168,102.8359375,201825,5,8,8,68,1,13.078125,11732932,103.2109375,201825,5,8,1
c880.043,8,383,1,1.3125,1126414,72.02734375,1296,5,7,8,37,1,0.40625,86197,75.0546875,1296,5,7,1
c880.044,6,383,1,3.546875,3847492,71.2734375,5568,5,6,6,45,1,0.40625,209702,72.49609375,5568,5,6,1
c880.045,6,383,1,11.390625,12557527,75.6015625,67392,5,6,6,66,1,1.40625,1390793,78.265625,67392,5,6,1
c880.048,11,383,1,319.984375,227876489,224.203125,413010,5,9,11,101,1,143.53125,92549698,221.62890625,413010,5,9,1
c880.049,6,383,1,0.53125,319118,70.53515625,216,5,6,6,16,1,0.25,3639,72.1328125,216,5,6,1
c880.051,7,383,1,12.875,12867743,70.58203125,11136,6,7,7,47,1,0.96875,692773,75.09765625,11136,6,7,1
c880.052,9,383,1,412.828125,345251783,232.91796875,807300,6,9,9,72,1,81.484375,61472275,230.78125,807300,6,9,1
c880.053,9,383,1,7.703125,5781834,71.86328125,5184,6,8,9,41,1,0.734375,448129,75.7890625,5184,6,8,1
c880.055,7,383,1,1.359375,1011978,70.35546875,432,6,7,7,18,1,0.296875,11415,71.79296875,432,6,7,1
c880.059,7,383,1,4.859375,4367104,71.4765625,9936,6,7,7,43,1,0.78125,513170,75.6328125,9936,6,7,1
c880.061,11,383,1,196.453125,146435605,93.859375,60912,7,10,11,55,1,14.78125,13392613,95.84765625,60912,7,10,1
c880.062,9,383,1,1691.84375,1404242956,783.5859375,2928768,7,9,9,106,1,330.21875,266462356,785.015625,2928768,7,9,1
c880.065,10,383,1,20.484375,18130414,70.71484375,10368,7,9,10,43,1,2.09375,1404853,73.1875,10368,7,9,1
c880.071,12,383,1,339.21875,222144090,140.0078125,101952,8,10,12,95,1,97.234375,61894365,140.5234375,101952,8,10,1
c880.073,12,383,1,6739.421875,4212455095,1004.1015625,1766448,8,11,12,84,1,730.71875,469583239,956.328125,1766448,8,11,1
