nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,numero_mhs_trovati_2,cardinalita_minima_2,cardinalita_massima_2,risultati_uguali
74L85.000,2,33,1,0.265625,165,53.65234375,7,1,2,2,8,1,0.28125,34,51.484375,7,1,2,1
74L85.001,4,33,1,0.28125,292,51.0625,21,1,2,4,19,1,0.28125,143,53.83203125,21,1,2,1
74L85.002,4,33,1,0.3125,413,52.890625,17,1,2,4,16,1,0.28125,166,51.5,17,1,2,1
74L85.003,2,33,1,0.296875,162,52.2734375,10,1,2,2,7,1,0.265625,28,51.93359375,10,1,2,1
74L85.004,4,33,1,0.25,340,50.94140625,22,1,2,4,21,1,0.34375,187,51.83984375,22,1,2,1
74L85.005,1,33,1,0.3125,33,50.99609375,1,1,1,1,1,1,0.328125,1,52.43359375,1,1,1,1
74L85.006,1,33,1,0.296875,33,52.28125,7,1,1,1,7,1,0.3125,7,52.39453125,7,1,1,1
74L85.007,2,33,1,0.265625,59,50.65625,9,1,1,1,9,1,0.328125,9,51.94140625,9,1,1,1
74L85.008,3,33,1,0.328125,199,51.24609375,18,1,2,2,13,1,0.28125,76,53.19921875,18,1,2,1
74L85.009,2,33,1,0.3125,165,52.33203125,10,1,2,2,7,1,0.234375,28,50.71484375,10,1,2,1
74L85.010,5,33,1,0.28125,1221,52.65625,98,2,3,5,25,1,0.28125,1053,51.82421875,98,2,3,1
74L85.011,4,33,1,0.28125,367,53.45703125,13,2,3,4,12,1,0.34375,141,52.54296875,13,2,3,1
74L85.012,5,33,1,0.296875,747,52.0390625,22,2,3,5,22,1,0.28125,492,52.27734375,22,2,3,1
74L85.013,4,33,1,0.3125,2530,52.74609375,70,2,4,4,15,1,0.34375,923,52.65234375,70,2,4,1
74L85.014,6,33,1,0.390625,1604,52.953125,181,2,4,5,21,1,0.296875,1278,52.5546875,181,2,4,1
74L85.015,6,33,1,0.34375,2617,52.10546875,110,2,4,6,20,1,0.265625,1390,52.234375,110,2,4,1
74L85.016,2,33,1,0.234375,164,51.06640625,49,2,2,2,14,1,0.25,105,53.7109375,49,2,2,1
74L85.017,5,33,1,0.3125,660,53.29296875,21,2,3,5,20,1,0.296875,386,51.80078125,21,2,3,1
74L85.018,5,33,1,0.296875,702,53.3203125,39,2,3,4,15,1,0.265625,325,51.27734375,39,2,3,1
74L85.019,3,33,1,0.25,167,50.61328125,9,2,2,2,10,1,0.265625,55,53.71875,9,2,2,1
74L85.020,7,33,1,0.359375,4607,54.2421875,239,3,5,7,19,1,0.296875,3799,53.8046875,239,3,5,1
74L85.021,4,33,1,0.296875,865,52.359375,42,3,4,4,15,1,0.3125,596,53.3203125,42,3,4,1
74L85.022,9,33,1,0.375,8731,54.53515625,233,3,5,9,26,1,0.390625,8053,54.5625,233,3,5,1
74L85.023,9,33,1,0.359375,4507,54.73828125,158,3,5,8,26,1,0.34375,3835,53.46484375,158,3,5,1
74L85.024,3,33,1,0.328125,444,51.9453125,49,3,3,3,15,1,0.25,384,51.29296875,49,3,3,1
74L85.025,6,33,1,0.3125,8705,53.9921875,298,3,4,6,23,1,0.34375,6474,53.8828125,298,3,4,1
74L85.026,9,33,1,0.359375,5419,54.61328125,210,3,5,7,25,1,0.359375,4488,52.90625,210,3,5,1
74L85.027,5,33,1,0.234375,592,51.46484375,30,3,4,5,14,1,0.3125,342,51.109375,30,3,4,1
74181.000,3,65,1,0.359375,3638,53.5,271,1,3,3,33,1,0.28125,1382,52.7890625,271,1,3,1
74181.001,2,65,1,0.25,750,51.65625,95,1,2,2,24,1,0.265625,260,51.109375,95,1,2,1
74181.002,2,65,1,0.296875,533,53.03515625,23,1,2,2,24,1,0.28125,187,53.1796875,23,1,2,1
74181.003,2,65,1,0.296875,345,53.12890625,1,1,1,1,1,1,0.28125,1,52.84765625,1,1,1,1
74181.004,2,65,1,0.296875,279,52.9375,14,1,2,2,15,1,0.28125,59,52.375,14,1,2,1
74181.005,4,65,1,0.328125,2322,52.72265625,42,1,2,4,26,1,0.28125,755,51.26953125,42,1,2,1
74181.006,2,65,1,0.3125,602,53.828125,29,1,2,2,17,1,0.3125,147,53.19140625,29,1,2,1
74181.007,2,65,1,0.296875,247,52.41796875,5,1,2,2,5,1,0.25,15,53.5078125,5,1,2,1
74181.008,3,65,1,0.3125,1496,52.9296875,1,1,1,1,1,1,0.265625,1,51.42578125,1,1,1,1
74181.009,3,65,1,0.34375,2018,53.16015625,68,1,3,3,23,1,0.28125,650,53.8203125,68,1,3,1
74181.010,7,65,1,0.359375,11908,53.8125,167,2,3,6,34,1,0.375,4109,53.72265625,167,2,3,1
74181.011,6,65,1,0.453125,41540,55.47265625,3921,2,4,6,46,1,0.421875,28614,55.7421875,3921,2,4,1
74181.012,8,65,1,0.421875,41377,54.7578125,35,2,3,6,21,1,0.296875,669,51.94140625,35,2,3,1
74181.013,6,65,1,0.40625,42127,53.921875,338,2,4,5,37,1,0.4375,10370,53.06640625,338,2,4,1
74181.014,3,65,1,0.390625,857,52.3828125,19,2,3,3,21,1,0.34375,291,52.390625,19,2,3,1
74181.015,9,65,1,0.4375,59385,54.94921875,508,2,4,9,47,1,0.453125,44474,54.08984375,508,2,4,1
74181.016,9,65,1,0.40625,42114,54.6328125,409,2,3,8,45,1,0.375,29788,54.08203125,409,2,3,1
74181.017,8,65,1,0.453125,34726,54.26953125,682,2,4,8,33,1,0.40625,17136,54.58203125,682,2,4,1
74181.018,7,65,1,0.34375,14107,53.11328125,42,2,3,5,27,1,0.40625,1256,51.6640625,42,2,3,1
